interaction_id	domain	question_type	static_or_dynamic	query_time	query	answer	alt_ans	page_files
aa838149-4446-4917-be80-945afe5287f8	finance	simple_w_condition	slow-changing	02/23/2024, 15:00:34 PT	how much did voyager therapeutics's stock rise in value over the past month?	-$3.26	"[""invalid question""]"	"[""aa838149-4446-4917-be80-945afe5287f8__p0.html"", ""aa838149-4446-4917-be80-945afe5287f8__p1.html"", ""aa838149-4446-4917-be80-945afe5287f8__p2.html"", ""aa838149-4446-4917-be80-945afe5287f8__p3.html"", ""aa838149-4446-4917-be80-945afe5287f8__p4.html""]"
3569f7c6-3198-40e8-a3e4-45599e23c4f8	finance	simple_w_condition	static	03/13/2024, 08:48:20 PT	what was the total value of all corporate bond issuances in 2024 for the first week?	the first week of 2024 saw nearly $59 billion in high-grade bond issuance.	[]	"[""3569f7c6-3198-40e8-a3e4-45599e23c4f8__p0.html"", ""3569f7c6-3198-40e8-a3e4-45599e23c4f8__p2.html"", ""3569f7c6-3198-40e8-a3e4-45599e23c4f8__p3.html"", ""3569f7c6-3198-40e8-a3e4-45599e23c4f8__p4.html""]"
2d4079bd-fb87-4b89-8119-be2c2fecda16	finance	simple_w_condition	static	03/17/2024, 16:46:51 PT	what is the ex-dividend date of microsoft in the 1st qtr of 2024	the ex-dividend date of microsoft in the 1st qtr of 2024 is feb 14, 2024	[]	"[""2d4079bd-fb87-4b89-8119-be2c2fecda16__p0.html"", ""2d4079bd-fb87-4b89-8119-be2c2fecda16__p1.html"", ""2d4079bd-fb87-4b89-8119-be2c2fecda16__p2.html"", ""2d4079bd-fb87-4b89-8119-be2c2fecda16__p3.html"", ""2d4079bd-fb87-4b89-8119-be2c2fecda16__p4.html""]"
642bbc21-ed9d-42e7-8455-382a6f2b0f08	sports	simple_w_condition	static	03/17/2024, 16:55:12 PT	which player took home grand slam championship in 2017?	rafael nadal won his 16th grand slam title at the 2017 u.s. open	[]	"[""642bbc21-ed9d-42e7-8455-382a6f2b0f08__p1.html"", ""642bbc21-ed9d-42e7-8455-382a6f2b0f08__p2.html"", ""642bbc21-ed9d-42e7-8455-382a6f2b0f08__p3.html""]"
3c2e454d-10a1-40eb-9534-f9440ecc4c3b	open	simple_w_condition	slow-changing	03/17/2024, 16:31:28 PT	what is the most active volcano in the philippines?	mayon volcano	[]	"[""3c2e454d-10a1-40eb-9534-f9440ecc4c3b__p0.html"", ""3c2e454d-10a1-40eb-9534-f9440ecc4c3b__p2.html"", ""3c2e454d-10a1-40eb-9534-f9440ecc4c3b__p3.html"", ""3c2e454d-10a1-40eb-9534-f9440ecc4c3b__p4.html""]"
9263d16c-88a7-408c-9679-56afbe542fa4	movie	set	slow-changing	03/17/2024, 17:18:35 PT	what were 3 of the most watched halloween movies of all time?	hocus pocus, halloween (2018), beetlejuice	[]	"[""9263d16c-88a7-408c-9679-56afbe542fa4__p0.html"", ""9263d16c-88a7-408c-9679-56afbe542fa4__p1.html"", ""9263d16c-88a7-408c-9679-56afbe542fa4__p2.html"", ""9263d16c-88a7-408c-9679-56afbe542fa4__p3.html"", ""9263d16c-88a7-408c-9679-56afbe542fa4__p4.html""]"
a4cb51da-26e1-446d-80fa-8833e71db86e	sports	simple_w_condition	static	03/13/2024, 09:12:22 PT	which player has the most career wins in the nfl among quarterbacks who have never been to a super bowl?	philip rivers has the most career wins in the nfl among quarterbacks who have never been to a super bowl, with 134 wins.	[]	"[""a4cb51da-26e1-446d-80fa-8833e71db86e__p0.html"", ""a4cb51da-26e1-446d-80fa-8833e71db86e__p1.html"", ""a4cb51da-26e1-446d-80fa-8833e71db86e__p2.html"", ""a4cb51da-26e1-446d-80fa-8833e71db86e__p3.html"", ""a4cb51da-26e1-446d-80fa-8833e71db86e__p4.html""]"
7752219e-72eb-44c7-bf83-a52a00c7b5da	music	simple_w_condition	fast-changing	03/21/2024, 23:40:33 PT	how many number one hit songs does lady gaga have?	7	[]	"[""7752219e-72eb-44c7-bf83-a52a00c7b5da__p0.html"", ""7752219e-72eb-44c7-bf83-a52a00c7b5da__p1.html"", ""7752219e-72eb-44c7-bf83-a52a00c7b5da__p2.html"", ""7752219e-72eb-44c7-bf83-a52a00c7b5da__p3.html"", ""7752219e-72eb-44c7-bf83-a52a00c7b5da__p4.html""]"
37d00a45-b707-4f82-8ad5-faaab9f7f24a	music	comparison	slow-changing	03/13/2024, 09:44:15 PT	who has had more number one hits on the us billboard dance/electronic songs chart, calvin harris or the chainsmokers?	the chainsmokers	[]	"[""37d00a45-b707-4f82-8ad5-faaab9f7f24a__p0.html"", ""37d00a45-b707-4f82-8ad5-faaab9f7f24a__p1.html"", ""37d00a45-b707-4f82-8ad5-faaab9f7f24a__p2.html"", ""37d00a45-b707-4f82-8ad5-faaab9f7f24a__p3.html"", ""37d00a45-b707-4f82-8ad5-faaab9f7f24a__p4.html""]"
6e5b1834-341b-439a-b185-043d5ba0377d	music	aggregation	slow-changing	03/21/2024, 23:37:06 PT	from 1990 to 2000, how many songs did keith sweat release?	8	[]	"[""6e5b1834-341b-439a-b185-043d5ba0377d__p0.html"", ""6e5b1834-341b-439a-b185-043d5ba0377d__p1.html"", ""6e5b1834-341b-439a-b185-043d5ba0377d__p2.html"", ""6e5b1834-341b-439a-b185-043d5ba0377d__p3.html"", ""6e5b1834-341b-439a-b185-043d5ba0377d__p4.html""]"
9628a926-9f8b-446c-81d4-ebdc9bf54960	sports	post-processing	static	03/10/2024, 21:49:42 PT	how many games did anthony davis miss in the 2021-2022 regular season?	40	[]	"[""9628a926-9f8b-446c-81d4-ebdc9bf54960__p0.html"", ""9628a926-9f8b-446c-81d4-ebdc9bf54960__p1.html"", ""9628a926-9f8b-446c-81d4-ebdc9bf54960__p2.html"", ""9628a926-9f8b-446c-81d4-ebdc9bf54960__p3.html"", ""9628a926-9f8b-446c-81d4-ebdc9bf54960__p4.html""]"
ac242919-01c2-4563-a0fe-44cf59c7046c	movie	set	static	03/10/2024, 23:37:30 PT	who were the producers of the movie paul blart: mall cop?	adam sandler, jack giarraputo, kevin james, todd garner, barry bernardi	[]	"[""ac242919-01c2-4563-a0fe-44cf59c7046c__p0.html"", ""ac242919-01c2-4563-a0fe-44cf59c7046c__p1.html"", ""ac242919-01c2-4563-a0fe-44cf59c7046c__p2.html"", ""ac242919-01c2-4563-a0fe-44cf59c7046c__p3.html"", ""ac242919-01c2-4563-a0fe-44cf59c7046c__p4.html""]"
f51e7907-0f76-483e-b449-11b02eea1d78	finance	comparison	fast-changing	02/23/2024, 15:00:20 PT	which company's stock has had the lowest trading activity this week, kind or  casi?	casi	[]	"[""f51e7907-0f76-483e-b449-11b02eea1d78__p0.html"", ""f51e7907-0f76-483e-b449-11b02eea1d78__p1.html"", ""f51e7907-0f76-483e-b449-11b02eea1d78__p2.html"", ""f51e7907-0f76-483e-b449-11b02eea1d78__p3.html"", ""f51e7907-0f76-483e-b449-11b02eea1d78__p4.html""]"
7499dee8-9270-4dd1-a2bc-69eaf734d13e	open	false_premise	static	03/17/2024, 16:43:11 PT	did taylor swifts debut album fearless launched in 2008 in us?	invalid question	[]	"[""7499dee8-9270-4dd1-a2bc-69eaf734d13e__p0.html"", ""7499dee8-9270-4dd1-a2bc-69eaf734d13e__p1.html"", ""7499dee8-9270-4dd1-a2bc-69eaf734d13e__p2.html"", ""7499dee8-9270-4dd1-a2bc-69eaf734d13e__p3.html"", ""7499dee8-9270-4dd1-a2bc-69eaf734d13e__p4.html""]"
68261da9-bf1a-4675-b0b8-ffd0c2f0c4c9	movie	simple	static	03/19/2024, 23:50:28 PT	which movie won the oscar best visual effects in 2006?	king kong	[]	"[""68261da9-bf1a-4675-b0b8-ffd0c2f0c4c9__p1.html"", ""68261da9-bf1a-4675-b0b8-ffd0c2f0c4c9__p2.html"", ""68261da9-bf1a-4675-b0b8-ffd0c2f0c4c9__p3.html"", ""68261da9-bf1a-4675-b0b8-ffd0c2f0c4c9__p4.html""]"
164cce18-533e-4357-b884-91688f11abc8	sports	simple	static	03/12/2024, 12:32:23 PT	what's the name of nashville's hockey team?	nashville predators	[]	"[""164cce18-533e-4357-b884-91688f11abc8__p0.html"", ""164cce18-533e-4357-b884-91688f11abc8__p1.html"", ""164cce18-533e-4357-b884-91688f11abc8__p2.html"", ""164cce18-533e-4357-b884-91688f11abc8__p3.html"", ""164cce18-533e-4357-b884-91688f11abc8__p4.html""]"
31314f79-a574-4cde-9cf7-d07be84e91d1	open	comparison	slow-changing	02/26/2024, 23:45:06 PT	which university has a higher student-to-faculty ratio, harvard or princeton?	harvard university	[]	"[""31314f79-a574-4cde-9cf7-d07be84e91d1__p0.html"", ""31314f79-a574-4cde-9cf7-d07be84e91d1__p1.html"", ""31314f79-a574-4cde-9cf7-d07be84e91d1__p2.html"", ""31314f79-a574-4cde-9cf7-d07be84e91d1__p4.html""]"
971dfeb2-9cbf-4c6f-84fd-b2476a59e640	movie	simple	static	03/19/2024, 23:46:06 PT	who is the person to win best actor award in 1994?	tom hanks	[]	"[""971dfeb2-9cbf-4c6f-84fd-b2476a59e640__p0.html"", ""971dfeb2-9cbf-4c6f-84fd-b2476a59e640__p1.html"", ""971dfeb2-9cbf-4c6f-84fd-b2476a59e640__p2.html"", ""971dfeb2-9cbf-4c6f-84fd-b2476a59e640__p3.html"", ""971dfeb2-9cbf-4c6f-84fd-b2476a59e640__p4.html""]"
551d685a-1536-4c51-87f5-a73dc1f8b3c5	open	multi-hop	static	02/26/2024, 23:52:30 PT	how long is the longest river in alabama?	the longest river that flows through alabama, the tennessee river, is 652 miles long.	[]	"[""551d685a-1536-4c51-87f5-a73dc1f8b3c5__p0.html"", ""551d685a-1536-4c51-87f5-a73dc1f8b3c5__p1.html"", ""551d685a-1536-4c51-87f5-a73dc1f8b3c5__p2.html"", ""551d685a-1536-4c51-87f5-a73dc1f8b3c5__p3.html"", ""551d685a-1536-4c51-87f5-a73dc1f8b3c5__p4.html""]"
5710f505-3717-40cc-87fd-f63affaec718	sports	false_premise	fast-changing	03/27/2024, 19:39:40 PT	did cádiz emerge victorious in yesterday's game?	invalid question	[]	"[""5710f505-3717-40cc-87fd-f63affaec718__p0.html"", ""5710f505-3717-40cc-87fd-f63affaec718__p1.html"", ""5710f505-3717-40cc-87fd-f63affaec718__p2.html"", ""5710f505-3717-40cc-87fd-f63affaec718__p3.html"", ""5710f505-3717-40cc-87fd-f63affaec718__p4.html""]"
8ecd618b-2ae6-4fd0-a62c-c16e16827b6b	finance	simple	real-time	02/28/2024, 08:32:55 PT	can you tell me the earnings per share of lgstw?	i don't know	[]	"[""8ecd618b-2ae6-4fd0-a62c-c16e16827b6b__p0.html"", ""8ecd618b-2ae6-4fd0-a62c-c16e16827b6b__p1.html"", ""8ecd618b-2ae6-4fd0-a62c-c16e16827b6b__p2.html"", ""8ecd618b-2ae6-4fd0-a62c-c16e16827b6b__p3.html""]"
b926f8c6-9ecf-43ae-943d-95cc088faa4f	finance	simple	fast-changing	02/28/2024, 07:33:25 PT	what was the closing price of hamilton lane yesterday?	$116.95	[]	"[""b926f8c6-9ecf-43ae-943d-95cc088faa4f__p0.html"", ""b926f8c6-9ecf-43ae-943d-95cc088faa4f__p2.html"", ""b926f8c6-9ecf-43ae-943d-95cc088faa4f__p4.html""]"
5aeb230a-cabb-48f6-8562-3670f05465ac	finance	set	real-time	03/17/2024, 16:50:55 PT	what are 3 examples of stocks that increased in value today?	here are 3 stocks that increased in value today. knsl, ttd, and coin	[]	"[""5aeb230a-cabb-48f6-8562-3670f05465ac__p0.html"", ""5aeb230a-cabb-48f6-8562-3670f05465ac__p1.html"", ""5aeb230a-cabb-48f6-8562-3670f05465ac__p2.html"", ""5aeb230a-cabb-48f6-8562-3670f05465ac__p3.html"", ""5aeb230a-cabb-48f6-8562-3670f05465ac__p4.html""]"
59c155d1-c888-4fca-a4ad-14778e848efe	sports	simple	fast-changing	03/12/2024, 12:33:10 PT	who was the coach for the seattle seahawks?	mike macdonald	[]	"[""59c155d1-c888-4fca-a4ad-14778e848efe__p0.html"", ""59c155d1-c888-4fca-a4ad-14778e848efe__p1.html"", ""59c155d1-c888-4fca-a4ad-14778e848efe__p2.html"", ""59c155d1-c888-4fca-a4ad-14778e848efe__p3.html"", ""59c155d1-c888-4fca-a4ad-14778e848efe__p4.html""]"
e93e3e85-68ce-4be9-ad5a-621f43f1b569	movie	simple	static	03/19/2024, 23:22:04 PT	can you tell me the date that randall wallace was born?	1949-07-28	[]	"[""e93e3e85-68ce-4be9-ad5a-621f43f1b569__p0.html"", ""e93e3e85-68ce-4be9-ad5a-621f43f1b569__p1.html"", ""e93e3e85-68ce-4be9-ad5a-621f43f1b569__p2.html"", ""e93e3e85-68ce-4be9-ad5a-621f43f1b569__p3.html"", ""e93e3e85-68ce-4be9-ad5a-621f43f1b569__p4.html""]"
41354a30-fd4f-4ae7-b234-566136410e16	sports	simple_w_condition	fast-changing	03/27/2024, 19:31:05 PT	which team did rayo vallecano play against last week?	betis	[]	"[""41354a30-fd4f-4ae7-b234-566136410e16__p0.html"", ""41354a30-fd4f-4ae7-b234-566136410e16__p1.html"", ""41354a30-fd4f-4ae7-b234-566136410e16__p2.html"", ""41354a30-fd4f-4ae7-b234-566136410e16__p3.html"", ""41354a30-fd4f-4ae7-b234-566136410e16__p4.html""]"
fd686881-eab3-48b9-838e-5927ff80772b	sports	aggregation	slow-changing	03/13/2024, 09:18:04 PT	how many english titles have manchester city won?	manchester city have won nine english football titles.	[]	"[""fd686881-eab3-48b9-838e-5927ff80772b__p0.html"", ""fd686881-eab3-48b9-838e-5927ff80772b__p1.html"", ""fd686881-eab3-48b9-838e-5927ff80772b__p2.html"", ""fd686881-eab3-48b9-838e-5927ff80772b__p3.html"", ""fd686881-eab3-48b9-838e-5927ff80772b__p4.html""]"
5d728c53-bb1f-4bcd-924a-1e5e26738821	sports	simple_w_condition	slow-changing	03/13/2024, 09:14:46 PT	which player has the most career hat tricks in the nhl among players who have never won the hart trophy?	mike bossy has the most career hat tricks in the nhl among players who have never won the hart trophy, with 39 hat tricks.	[]	"[""5d728c53-bb1f-4bcd-924a-1e5e26738821__p0.html"", ""5d728c53-bb1f-4bcd-924a-1e5e26738821__p1.html"", ""5d728c53-bb1f-4bcd-924a-1e5e26738821__p2.html"", ""5d728c53-bb1f-4bcd-924a-1e5e26738821__p3.html"", ""5d728c53-bb1f-4bcd-924a-1e5e26738821__p4.html""]"
97070a87-7240-4d7f-9598-5b20c71449f6	sports	set	slow-changing	03/13/2024, 09:28:07 PT	who has won the f1 drivers' championship at least five times?	michael schumacher, lewis hamilton, and juan manuel fangio have all won the f1 drivers' championship at least five times.	[]	"[""97070a87-7240-4d7f-9598-5b20c71449f6__p0.html"", ""97070a87-7240-4d7f-9598-5b20c71449f6__p1.html"", ""97070a87-7240-4d7f-9598-5b20c71449f6__p2.html"", ""97070a87-7240-4d7f-9598-5b20c71449f6__p3.html"", ""97070a87-7240-4d7f-9598-5b20c71449f6__p4.html""]"
77c636f7-51ed-48fb-a577-93a09e23f2f4	finance	set	static	03/05/2024, 23:14:16 PT	what were tesla's quarerly reported earnings per share for the fiscal year 2022?	q1: $0.95, q2: $0.76, q3: $0.95, q4: $1.19	[]	"[""77c636f7-51ed-48fb-a577-93a09e23f2f4__p0.html"", ""77c636f7-51ed-48fb-a577-93a09e23f2f4__p1.html"", ""77c636f7-51ed-48fb-a577-93a09e23f2f4__p2.html"", ""77c636f7-51ed-48fb-a577-93a09e23f2f4__p3.html"", ""77c636f7-51ed-48fb-a577-93a09e23f2f4__p4.html""]"
4d59e9dc-3b8c-487b-aa45-f61f5505ee9e	movie	comparison	static	03/05/2024, 23:30:31 PT	which movie was created first, a walk to remember or the notebook?	a walk to remember was released first in january 25 2002 while the notebook was released june 25, 2004	[]	"[""4d59e9dc-3b8c-487b-aa45-f61f5505ee9e__p0.html"", ""4d59e9dc-3b8c-487b-aa45-f61f5505ee9e__p1.html"", ""4d59e9dc-3b8c-487b-aa45-f61f5505ee9e__p2.html"", ""4d59e9dc-3b8c-487b-aa45-f61f5505ee9e__p3.html"", ""4d59e9dc-3b8c-487b-aa45-f61f5505ee9e__p4.html""]"
0dd446e0-097b-4e36-b449-e8286c284cd1	open	simple	static	03/17/2024, 16:33:24 PT	longest known length of a tiger shark in meters.	7.5 meters	[]	"[""0dd446e0-097b-4e36-b449-e8286c284cd1__p0.html"", ""0dd446e0-097b-4e36-b449-e8286c284cd1__p1.html"", ""0dd446e0-097b-4e36-b449-e8286c284cd1__p2.html"", ""0dd446e0-097b-4e36-b449-e8286c284cd1__p3.html"", ""0dd446e0-097b-4e36-b449-e8286c284cd1__p4.html""]"
7025d79d-3af3-4d54-9561-5e04c0aca271	movie	simple_w_condition	static	03/17/2024, 17:13:35 PT	what car did roman pearce drive in the second fast and furious movie?	tyrese gibson as roman pearce: brian's childhood friend who is on house arrest after serving time in prison, for which he still blames brian. he drives a 2003 mitsubishi eclipse spyder gts.	[]	"[""7025d79d-3af3-4d54-9561-5e04c0aca271__p0.html"", ""7025d79d-3af3-4d54-9561-5e04c0aca271__p1.html"", ""7025d79d-3af3-4d54-9561-5e04c0aca271__p2.html"", ""7025d79d-3af3-4d54-9561-5e04c0aca271__p3.html""]"
a91df871-089c-4b91-9cbb-1110af749b22	movie	simple	static	03/19/2024, 23:17:23 PT	who directed bridget jones: the edge of reason, can you tell me?	beeban kidron	[]	"[""a91df871-089c-4b91-9cbb-1110af749b22__p0.html"", ""a91df871-089c-4b91-9cbb-1110af749b22__p1.html"", ""a91df871-089c-4b91-9cbb-1110af749b22__p2.html"", ""a91df871-089c-4b91-9cbb-1110af749b22__p3.html"", ""a91df871-089c-4b91-9cbb-1110af749b22__p4.html""]"
1015c11e-ebfb-44aa-8dc1-7d8742b2feca	sports	simple_w_condition	static	03/10/2024, 23:13:09 PT	what school won the women's gymnastics ncaa championship in 2022?	oklahoma	[]	"[""1015c11e-ebfb-44aa-8dc1-7d8742b2feca__p0.html"", ""1015c11e-ebfb-44aa-8dc1-7d8742b2feca__p1.html"", ""1015c11e-ebfb-44aa-8dc1-7d8742b2feca__p2.html"", ""1015c11e-ebfb-44aa-8dc1-7d8742b2feca__p3.html"", ""1015c11e-ebfb-44aa-8dc1-7d8742b2feca__p4.html""]"
4afd82c6-af57-41b2-9848-f0ec9479efd5	movie	simple	static	03/19/2024, 23:31:52 PT	can you tell me what the lodger title was originally?	the lodger	[]	"[""4afd82c6-af57-41b2-9848-f0ec9479efd5__p0.html"", ""4afd82c6-af57-41b2-9848-f0ec9479efd5__p1.html"", ""4afd82c6-af57-41b2-9848-f0ec9479efd5__p2.html"", ""4afd82c6-af57-41b2-9848-f0ec9479efd5__p3.html"", ""4afd82c6-af57-41b2-9848-f0ec9479efd5__p4.html""]"
2e03317d-d5d0-4814-8bb9-72dee71f5c52	sports	comparison	slow-changing	03/10/2024, 23:13:31 PT	which wta player had a higher singles ranking to end last year, madison keys or daria kasatkina?	madison keys	[]	"[""2e03317d-d5d0-4814-8bb9-72dee71f5c52__p0.html"", ""2e03317d-d5d0-4814-8bb9-72dee71f5c52__p1.html"", ""2e03317d-d5d0-4814-8bb9-72dee71f5c52__p2.html"", ""2e03317d-d5d0-4814-8bb9-72dee71f5c52__p3.html"", ""2e03317d-d5d0-4814-8bb9-72dee71f5c52__p4.html""]"
47859020-9974-4c81-a897-96594beca8fb	movie	aggregation	static	03/19/2024, 23:02:49 PT	how many family movies were there that came out in 1994?	109	[]	"[""47859020-9974-4c81-a897-96594beca8fb__p0.html"", ""47859020-9974-4c81-a897-96594beca8fb__p1.html"", ""47859020-9974-4c81-a897-96594beca8fb__p2.html"", ""47859020-9974-4c81-a897-96594beca8fb__p3.html"", ""47859020-9974-4c81-a897-96594beca8fb__p4.html""]"
6ebe112a-7dbc-44a2-9a62-8b00de81e5d1	sports	set	static	03/15/2024, 16:51:44 PT	in 2021-12, which teams were able to come out on top against golden state warriors?	denver nuggets, philadelphia 76ers, san antonio spurs, toronto raptors	[]	"[""6ebe112a-7dbc-44a2-9a62-8b00de81e5d1__p0.html"", ""6ebe112a-7dbc-44a2-9a62-8b00de81e5d1__p1.html"", ""6ebe112a-7dbc-44a2-9a62-8b00de81e5d1__p2.html"", ""6ebe112a-7dbc-44a2-9a62-8b00de81e5d1__p3.html"", ""6ebe112a-7dbc-44a2-9a62-8b00de81e5d1__p4.html""]"
81510e05-43f4-4036-aecb-7d4f737a7d54	movie	simple	static	03/19/2024, 23:37:42 PT	what was the overall worldwide box office revenue for invictus?	122400000	"[""122.24 million""]"	"[""81510e05-43f4-4036-aecb-7d4f737a7d54__p0.html"", ""81510e05-43f4-4036-aecb-7d4f737a7d54__p1.html"", ""81510e05-43f4-4036-aecb-7d4f737a7d54__p2.html"", ""81510e05-43f4-4036-aecb-7d4f737a7d54__p3.html"", ""81510e05-43f4-4036-aecb-7d4f737a7d54__p4.html""]"
